competition,score,gold_threshold,silver_threshold,bronze_threshold,median_threshold,any_medal,gold_medal,silver_medal,bronze_medal,above_median,valid_submission,submission_exists
aerial-cactus-identification,1.0,1.0,1.0,1.0,0.9991,True,True,False,False,True,True,True
aptos2019-blindness-detection,0.90685,0.930508,0.919654,0.914492,0.888912,False,False,False,False,True,True,True
chaii-hindi-and-tamil-question-answering,0.67455,0.76305,0.73984,0.73725,0.72756,False,False,False,False,False,True,True
dog-breed-identification,0.58826,0.0005,0.00539,0.04598,0.47205,False,False,False,False,False,True,True
dogs-vs-cats-redux-kernels-edition,0.06683,0.03882,0.05038,0.06127,0.12216,False,False,False,False,True,True,True
histopathologic-cancer-detection,0.99254,0.9835,0.9798,0.9738,0.9477,True,True,False,False,True,True,True
jigsaw-toxic-comment-classification-challenge,0.98929,0.9874,0.98668,0.98639,0.98079,True,True,False,False,True,True,True
leaf-classification,2.02279,0.0,0.00791,0.01526,0.108345,False,False,False,False,False,True,True
learning-agency-lab-automated-essay-scoring-2,0.78964,0.83583,0.83518,0.83471,0.828265,False,False,False,False,False,True,True
lmsys-chatbot-arena,2.26734,0.98392,0.99277,1.00283,1.05212,False,False,False,False,False,True,True
mlsp-2013-birds,0.65981,0.93527,0.90038,0.87372,0.86572,False,False,False,False,False,True,True
new-york-city-taxi-fare-prediction,5.12441,2.83377,2.88191,2.92371,3.59741,False,False,False,False,False,True,True
nomad2018-predict-transparent-conductors,0.06479,0.05589,0.06229,0.06582,0.06988,True,False,False,True,True,True,True
plant-pathology-2020-fgvc7,0.98888,0.97836,0.97465,0.97361,0.94852,True,True,False,False,True,True,True
random-acts-of-pizza,0.63403,0.97908,0.76482,0.6921,0.5995950000000001,False,False,False,False,True,True,True
ranzcr-clip-catheter-line-classification,0.91278,0.97357,0.97152,0.9709,0.9675,False,False,False,False,False,True,True
spooky-author-identification,0.50796,0.16506,0.26996,0.29381,0.418785,False,False,False,False,False,True,True
tabular-playground-series-dec-2021,0.96227,0.9566,0.95658,0.95658,0.95342,True,True,False,False,True,True,True
tabular-playground-series-may-2022,0.99373,0.99823,0.99822,0.99818,0.972675,False,False,False,False,True,True,True
text-normalization-challenge-russian-language,0.18164,0.99012,0.98232,0.97592,0.97591,False,False,False,False,False,True,True
tgs-salt-identification-challenge,0.5221,0.89097,0.87163,0.85918,0.81665,False,False,False,False,False,True,True
