competition,score,gold_threshold,silver_threshold,bronze_threshold,median_threshold,any_medal,gold_medal,silver_medal,bronze_medal,above_median,valid_submission
aerial-cactus-identification,1.0,1.0,1.0,1.0,0.9991,True,True,False,False,True,True
aptos2019-blindness-detection,0.89501,0.930508,0.919654,0.914492,0.888912,False,False,False,False,True,True
histopathologic-cancer-detection,0.99112,0.9835,0.9798,0.9738,0.9477,True,True,False,False,True,True
learning-agency-lab-automated-essay-scoring-2,0.78242,0.83583,0.83518,0.83471,0.828265,False,False,False,False,False,True
nomad2018-predict-transparent-conductors,0.06692,0.05589,0.06229,0.06582,0.06988,False,False,False,False,True,True
plant-pathology-2020-fgvc7,0.94049,0.97836,0.97465,0.97361,0.94852,False,False,False,False,False,True
jigsaw-toxic-comment-classification-challenge,0.98639,0.9874,0.98668,0.98639,0.98079,True,False,False,True,True,True
tabular-playground-series-dec-2021,0.95711,0.9566,0.95658,0.95658,0.95342,True,True,False,False,True,True
tabular-playground-series-may-2022,0.95056,0.99823,0.99822,0.99818,0.972675,False,False,False,False,False,True
new-york-city-taxi-fare-prediction,4.76987,2.83377,2.88191,2.92371,3.59741,False,False,False,False,False,True
tgs-salt-identification-challenge,0.5221,0.89097,0.87163,0.85918,0.81665,False,False,False,False,False,True
ranzcr-clip-catheter-line-classification,0.84915,0.97357,0.97152,0.9709,0.9675,False,False,False,False,False,True
chaii-hindi-and-tamil-question-answering,0.68616,0.76305,0.73984,0.73725,0.72756,False,False,False,False,False,True
dog-breed-identification,0.7254,0.0005,0.00539,0.04598,0.47205,False,False,False,False,False,True
dogs-vs-cats-redux-kernels-edition,0.10353,0.03882,0.05038,0.06127,0.12216,False,False,False,False,True,True
leaf-classification,0.04422,0.0,0.00791,0.01526,0.108345,False,False,False,False,True,True
lmsys-chatbot-arena,1.08268,0.98392,0.99277,1.00283,1.05212,False,False,False,False,False,True
random-acts-of-pizza,0.63818,0.97908,0.76482,0.6921,0.5995950000000001,False,False,False,False,True,True
text-normalization-challenge-russian-language,0.0,0.99012,0.98232,0.97592,0.97591,False,False,False,False,False,True
